"","title","author","subject","abstract","date"
"1","chatuie: exploring chat-based unified information extraction using large language models","jun xu, mengshu sun, zhiqiang zhang, jun zhou","computation and language","recent advancements in large language models have shown impressive performance in general chat. however, their domain-specific capabilities, particularly in information extraction, have certain limitations. extracting structured information from natural language that deviates from known schemas or instructions has proven challenging for previous prompt-based methods. this motivated us to explore domain-specific modeling in chat-based language models as a solution for extracting structured information from natural language. in this paper, we present chatuie, an innovative unified information extraction framework built upon chatglm. simultaneously, reinforcement learning is employed to improve and align various tasks that involve confusing and limited samples. furthermore, we integrate generation constraints to address the issue of generating elements that are not present in the input. our experimental results demonstrate that chatuie can significantly improve the performance of information extraction with a slight decrease in chatting ability.",2024-03-08
"2","secure information embedding and extraction in forensic 3d fingerprinting","canran wang, jinwen wang, mi zhou, vinh pham, senyue hao, chao zhou, ning zhang, netanel raviv","cryptography and security","the prevalence of 3d printing poses a significant risk to public safety, as any individual with internet access and a commodity printer is able to produce untraceable firearms, keys, counterfeit products, etc. to aid government authorities in combating these new security threats, several approaches have been taken to tag 3d-prints with identifying information. known as fingerprints, this information is written into the object using various bit embedding techniques; examples include varying the height of the molten thermoplastic layers, and depositing metallic powder with different magnetic properties. yet, the practicality of theses techniques in real-world forensic settings is hindered by the adversarial nature of this problem. that is, the 3d-printing process is out of reach of any law enforcement agencies; it is the adversary who controls all aspects of printing and possesses the printed object. to combat these threats, law enforcement agencies can regulate the manufacturing of 3d printers, on which they may enforce a fingerprinting scheme, and collect adversarially tampered remains (e.g., fragments of a broken 3d-printed firearm) during forensic investigation. therefore, it is important to devise fingerprinting techniques so that the fingerprint could be extracted even if printing is carried out by the adversary. to this end, we present side (secure information embedding and extraction), a fingerprinting framework that tackles the adversarial nature of forensic fingerprinting in 3d prints by offering both secure information embedding and secure information extraction.",2024-03-07
"3","automating the information extraction from semi-structured interview transcripts","angelina parfenova","computation and language","this paper explores the development and application of an automated system designed to extract information from semi-structured interview transcripts. given the labor-intensive nature of traditional qualitative analysis methods, such as coding, there exists a significant demand for tools that can facilitate the analysis process. our research investigates various topic modeling techniques and concludes that the best model for analyzing interview texts is a combination of bert embeddings and hdbscan clustering. we present a user-friendly software prototype that enables researchers, including those without programming skills, to efficiently process and visualize the thematic structure of interview data. this tool not only facilitates the initial stages of qualitative analysis but also offers insights into the interconnectedness of topics revealed, thereby enhancing the depth of qualitative analysis.",2024-03-07
"4","quantum-enhanced joint estimation of phase and phase diffusion","jayanth jayakumar, monika e. mycroft, marco barbieri, magdalena stobińska","quantum physics","accurate phase estimation in the presence of unknown phase diffusive noise is a crucial yet challenging task in noisy quantum metrology. this problem is particularly interesting due to the detrimental impact of the associated noise. here, we investigate the joint estimation of phase and phase diffusion using generalized holland-burnett states, known for their experimental accessibility. these states provide performance close to the optimal state in single-parameter phase estimation, even in the presence of photon losses. we adopt a twofold approach by analyzing the joint information extraction through the double homodyne measurement and the joint information availability across all probe states. through our analysis, we find that the highest sensitivities are obtained by using states created by directing all input photons into one port of a balanced beam splitter. furthermore, we infer that good levels of sensitivity persist even in the presence of moderate photon losses, illustrating the remarkable resilience of our probe states under lossy conditions.",2024-03-07
"5","sentiment-driven prediction of financial returns: a bayesian-enhanced finbert approach","raffaele giuseppe cestari, simone formentin","computational engineering, finance, and science","predicting financial returns accurately poses a significant challenge due to the inherent uncertainty in financial time series data. enhancing prediction models' performance hinges on effectively capturing both social and financial sentiment. in this study, we showcase the efficacy of leveraging sentiment information extracted from tweets using the finbert large language model. by meticulously curating an optimal feature set through correlation analysis and employing bayesian-optimized recursive feature elimination for automatic feature selection, we surpass existing methodologies, achieving an f1-score exceeding 70% on the test set. this success translates into demonstrably higher cumulative profits during backtested trading. our investigation focuses on real-world spy etf data alongside corresponding tweets sourced from the stocktwits platform.",2024-03-07
"6","kernel correlation-dissimilarity for multiple kernel k-means clustering","rina su, yu guo, caiying wu, qiyu jin, tieyong zeng","machine learning","the main objective of the multiple kernel k-means (mkkm) algorithm is to extract non-linear information and achieve optimal clustering by optimizing base kernel matrices. current methods enhance information diversity and reduce redundancy by exploiting interdependencies among multiple kernels based on correlations or dissimilarities. nevertheless, relying solely on a single metric, such as correlation or dissimilarity, to define kernel relationships introduces bias and incomplete characterization. consequently, this limitation hinders efficient information extraction, ultimately compromising clustering performance. to tackle this challenge, we introduce a novel method that systematically integrates both kernel correlation and dissimilarity. our approach comprehensively captures kernel relationships, facilitating more efficient classification information extraction and improving clustering performance. by emphasizing the coherence between kernel correlation and dissimilarity, our method offers a more objective and transparent strategy for extracting non-linear information and significantly improving clustering precision, supported by theoretical rationale. we assess the performance of our algorithm on 13 challenging benchmark datasets, demonstrating its superiority over contemporary state-of-the-art mkkm techniques.",2024-03-06
"7","mad libs are all you need: augmenting cross-domain document-level event argument data","joseph gatto, parker seegmiller, omar sharif, sarah m. preum","computation and language","document-level event argument extraction (doceae) is an extremely difficult information extraction problem -- with significant limitations in low-resource cross-domain settings. to address this problem, we introduce mad lib aug (mla), a novel generative doceae data augmentation framework. our approach leverages the intuition that mad libs, which are categorically masked documents used as a part of a popular game, can be generated and solved by llms to produce data for doceae. using mla, we achieve a 2.6-point average improvement in overall f1 score. moreover, this approach achieves a 3.9 and 5.2 point average increase in zero and few-shot event roles compared to augmentation-free baselines across all experiments.
to better facilitate analysis of cross-domain doceae, we additionally introduce a new metric, role-depth f1 (rdf1), which uses statistical depth to identify roles in the target domain which are semantic outliers with respect to roles observed in the source domain. our experiments show that mla augmentation can boost rdf1 performance by an average of 5.85 points compared to non-augmented datasets.",2024-03-05
"8","quantum mixed-state self-attention network","fu chen, qinglin zhao, li feng, chuangtao chen, yangbin lin, jianhong lin","quantum physics","the rapid advancement of quantum computing has increasingly highlighted its potential in the realm of machine learning, particularly in the context of natural language processing (nlp) tasks. quantum machine learning (qml) leverages the unique capabilities of quantum computing to offer novel perspectives and methodologies for complex data processing and pattern recognition challenges. this paper introduces a novel quantum mixed-state attention network (qmsan), which integrates the principles of quantum computing with classical machine learning algorithms, especially self-attention networks, to enhance the efficiency and effectiveness in handling nlp tasks. qmsan model employs a quantum attention mechanism based on mixed states, enabling efficient direct estimation of similarity between queries and keys within the quantum domain, leading to more effective attention weight acquisition. additionally, we propose an innovative quantum positional encoding scheme, implemented through fixed quantum gates within the quantum circuit, to enhance the model's accuracy. experimental validation on various datasets demonstrates that qmsan model outperforms existing quantum and classical models in text classification, achieving significant performance improvements. qmsan model not only significantly reduces the number of parameters but also exceeds classical self-attention networks in performance, showcasing its strong capability in data representation and information extraction. furthermore, our study investigates the model's robustness in different quantum noise environments, showing that qmsan possesses commendable robustness to low noise.",2024-03-05
"9","code-accord: a corpus of building regulatory data for rule generation towards automatic compliance checking","hansi hettiarachchi, amna dridi, mohamed medhat gaber, pouyan parsafard, nicoleta bocaneala, katja breitenfelder, gonçal costa, maria hedblom, mihaela juganaru-mathieu, thamer mecharnia, sumee park, he tan, abdel-rahman h. tawil, edlira vakaj","information retrieval","automatic compliance checking (acc) within the architecture, engineering, and construction (aec) sector necessitates automating the interpretation of building regulations to achieve its full potential. however, extracting information from textual rules to convert them to a machine-readable format has been a challenge due to the complexities associated with natural language and the limited resources that can support advanced machine-learning techniques. to address this challenge, we introduce code-accord, a unique dataset compiled under the eu horizon accord project. code-accord comprises 862 self-contained sentences extracted from the building regulations of england and finland. aligned with our core objective of facilitating information extraction from text for machine-readable rule generation, each sentence was annotated with entities and relations. entities represent specific components such as ""window"" and ""smoke detectors"", while relations denote semantic associations between these entities, collectively capturing the conveyed ideas in natural language. we manually annotated all the sentences using a group of 12 annotators. each sentence underwent annotations by multiple annotators and subsequently careful data curation to finalise annotations, ensuring their accuracy and reliability, thereby establishing the dataset as a solid ground truth. code-accord offers a rich resource for diverse machine learning and natural language processing (nlp) related tasks in acc, including text classification, entity recognition and relation extraction. to the best of our knowledge, this is the first entity and relation-annotated dataset in compliance checking, which is also publicly available.",2024-03-04
"10","representation learning on heterophilic graph with directional neighborhood attention","qincheng lu, jiaqi zhu, sitao luan, xiao-wen chang","machine learning","graph attention network (gat) is one of the most popular graph neural network (gnn) architecture, which employs the attention mechanism to learn edge weights and has demonstrated promising performance in various applications. however, since it only incorporates information from immediate neighborhood, it lacks the ability to capture long-range and global graph information, leading to unsatisfactory performance on some datasets, particularly on heterophilic graphs. to address this limitation, we propose the directional graph attention network (dgat) in this paper. dgat is able to combine the feature-based attention with the global directional information extracted from the graph topology. to this end, a new class of laplacian matrices is proposed which can provably reduce the diffusion distance between nodes. based on the new laplacian, topology-guided neighbour pruning and edge adding mechanisms are proposed to remove the noisy and capture the helpful long-range neighborhood information. besides, a global directional attention is designed to enable a topological-aware information propagation. the superiority of the proposed dgat over the baseline gat has also been verified through experiments on real-world benchmarks and synthetic data sets. it also outperforms the state-of-the-art (sota) models on 6 out of 7 real-world benchmark datasets.",2024-03-03
