"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","skechers men's diameter zinroy loafers","buen producto proceso complicado","jorge martinez ruz","el producto es excelente pero me equivoqu en la talla y no logr devolverlo porque el procedimiento se me hizo complicado gracias",2021-07-07,4,"verified purchase"
"2","skechers men's diameter zinroy loafers","skechers quality","rick osullivan","fit perfectly light and comfy had skechers before and they last and last great shoes",2022-08-12,4,"verified purchase"
"3","skechers men's diameter zinroy loafers","el mejor producto de su gama","juan miguel villar","es el segundo par que me compro de esta marca y modelo son increblemente cmodos realmente difcil poner una pega los recomiendo tanto para la gente que anda mucho como para los ocasionales y el precio es competitivo",2018-08-24,5,"verified purchase"
"4","skechers men's diameter zinroy loafers","trs confortable","haag","trs soupleparfait",2021-06-21,5,"verified purchase"
"5","skechers men's diameter zinroy loafers","great casual shoes","j i winder","ive been buying skechers shoes for years due to the comfort and durability that they provide these are no exception comfortable from the first wearing very well made and absolutely true to size i have no doubt these will last as well as all of the other pairs ive bought over the years",2023-12-17,5,"verified purchase"
"6","skechers men's diameter zinroy loafers","dry comfortable","hazel millarhanna","very nice shoe",2024-01-12,5,"verified purchase"
"7","skechers men's diameter zinroy loafers","confort et solidit","client damazon","trs belles chaussures solides confortables conformes  la descriptionje recommande cet article",2019-04-29,5,"verified purchase"
"8","skechers men's diameter zinroy loafers","ok","dk","quality seems fine but buy at least a size to a size and a half larger than usual",2023-09-21,5,"verified purchase"
"9","skechers men's diameter zinroy loafers","beautiful shoes great value","basil a jnr","should have bought a second pair in black  love these shoesi do a lot of walking at work and it is not often that i wear new shoes and out of the box they are very comfortable and my feet not feel some hurt at the end of the day  a great buy",2023-09-02,3,"verified purchase"
"10","skechers men's diameter zinroy loafers","very comfortable with excellent heel cushioning","chillax","overall they are good in giving good cushioning very grippy on smooth surfacesgreat compared to conventional shoescompetitively pricedonly criticism is they could do with more cushioning of the soles",2024-01-14,5,"verified purchase"
"11","skechers men's diameter zinroy loafers","nice mix between dress shoecasual shoe","bryan h","have always liked sketchers in many forms  this one is a bit stiff so far with only a couple wearings  very nice tho and a nice alternative to a typical dressshoe and a casualsneakerthey look great",2024-02-12,4,"verified purchase"
"12","skechers men's diameter zinroy loafers","perfecto","miguel","muy buena calidad muy cmodos tal y como esperaba ajustndose perfectamente a la descripcin del producto",2019-10-21,5,"verified purchase"
"13","skechers men's diameter zinroy loafers","super kauf","bauer alfred","super schuhe ",2023-08-31,5,"verified purchase"
"14","skechers men's diameter zinroy loafers","sketchers shoes","amazon customer","great pair of sketchers lovely fit very pleased good value many thanks",2024-02-18,5,"verified purchase"
"15","skechers men's diameter zinroy loafers","excellent service","mikey f","the older sketchers styles are far better than this seasons versions cant believe that they arrived from lerwick shetland after a couple of days with the severe weather weve been having",2024-01-24,5,"verified purchase"
"16","skechers men's diameter zinroy loafers","exactly as described","sharjazz","i am a very big fan of sketchers full stop  these shoes in the past have given me comfort and durabilityfinding them in the sale was a great bonus",2024-01-24,5,"verified purchase"
"17","skechers men's diameter zinroy loafers","good value","david c","sketchers are always good quality this is my second pair of these particular typeuse them for work very good for walkinggood price at ",2023-12-30,5,"verified purchase"
"18","skechers men's diameter zinroy loafers","too big","rebecca taylor","great shoe but go a size smaller",2024-01-05,4,"verified purchase"
"19","skechers men's diameter zinroy loafers","excellent","ronald","perfect",2024-01-30,4,"verified purchase"
"20","skechers men's diameter zinroy loafers","good service","gc","usual good product price fair",2024-01-26,4,"verified purchase"
"21","skechers men's diameter zinroy loafers","extremely comfortable","j burtenshaw","i was recommended to buy these shoes so comfortable i could wear them all day",2024-01-16,4,"verified purchase"
"22","skechers men's diameter zinroy loafers","fitting excellent","alan heaslip","a very nice product supplied bybegg shoes with a personal notea very nice touch appreciatedi will use them again",2024-01-08,5,"verified purchase"
"23","skechers men's diameter zinroy loafers","excellent","hayati","i am a taxi driver and these shoes excellent choice for long driving",2024-01-12,5,"verified purchase"
"24","skechers men's diameter zinroy loafers","lovely fit and look smart","kirstin","bought these for my partner and they look really smart and hes finding them really comfortable highly recommend",2024-01-02,5,"verified purchase"
"25","skechers men's diameter zinroy loafers","excellent shoes","amazon customer","brilliant service fast delivery thank you",2024-01-05,5,"verified purchase"
"26","skechers men's diameter zinroy loafers","less bulky than a normal trainer","john perry","smart but modern unbuckle can be difficult to clean off scuffs",2024-01-01,5,"verified purchase"
"27","skechers men's diameter zinroy loafers","great shoes well made","anthony b","if you have wide feet go for half a size bigger than you normally get",2023-12-28,5,"verified purchase"
"28","skechers men's diameter zinroy loafers","product reliability","brian william bates","good value",2024-01-05,5,"verified purchase"
"29","skechers men's diameter zinroy loafers","good","paul c","good",2024-01-05,5,"verified purchase"
"30","skechers men's diameter zinroy loafers","sketchers","diane stanton","bought for son very satisfied",2023-12-30,5,"verified purchase"
"31","skechers men's diameter zinroy loafers","wear them on your feet","duncan","does what it says on the tin very comfortable to wear  million users cant be wrong",2023-12-18,4,"verified purchase"
"32","skechers men's diameter zinroy loafers","comfortable","daniel k","comfortable fit well",2023-12-20,5,"verified purchase"
"33","skechers men's diameter zinroy loafers","better replacement to my previous sketchers","rk","i originally had sketchers oxford i was a bit sceptical to go for these as replacement to my originally laced version but they fit perfectly and the quality is superb",2023-11-24,5,"verified purchase"
"34","skechers men's diameter zinroy loafers","great quality","paul whiteoak","comfortable shoe good value fits well",2023-12-12,5,"verified purchase"
"35","skechers men's diameter zinroy loafers","very comfortable","alan dunne","had these for a few months now and really pleased with themcomfortable and size was spot on stylish lookinglook great with jeanswould definitely recommend",2023-11-19,5,"verified purchase"
"36","skechers men's diameter zinroy loafers","good","simon","pleased",2023-12-10,5,"verified purchase"
"37","skechers men's diameter zinroy loafers","excellent","dr danny jones","just worn them for the st time  excellent customer service with hand written note",2023-11-19,5,"verified purchase"
"38","skechers men's diameter zinroy loafers","just what i wanted","billlywizz","my favourite style a replacement for the ones ive worn out just need to find the courage to throw the old ones out",2023-11-11,5,"verified purchase"
"39","skechers men's diameter zinroy loafers","great quality value and stylish sketchers shoe","ronan ofarrell","very happy with my recent purchase of these stylish sketchers shoes which were great value and discounted a decent amount from the recommended retail price from other sellers",2023-10-31,5,"verified purchase"
"40","skechers men's diameter zinroy loafers","shoe","fred","great product comfort ease to but on  would recommend",2023-11-17,5,"verified purchase"
"41","skechers men's diameter zinroy loafers","good style","amazon customer","hubby luv these and this one if really good",2023-08-02,4,"verified purchase"
"42","skechers men's diameter zinroy loafers","better than i thought","paul r","very comfortable and good support",2023-11-16,4,"verified purchase"
"43","skechers men's diameter zinroy loafers","great value","william","very comfortable",2023-07-18,5,"verified purchase"
"44","skechers men's diameter zinroy loafers","nice shoes","kenneth hager","highly recommend",2023-11-26,4,"verified purchase"
"45","skechers men's diameter zinroy loafers","review","tim quaid","happy with this purchase very comfortable shoes",2023-10-16,5,"verified purchase"
"46","skechers men's diameter zinroy loafers","best shoes i have ever had","mr a gibson","just on to my second pair  the first pair i have had for  years  they are still in excellent condition  so comfortable  so well made  best purchase from amazon easily",2023-08-27,5,"verified purchase"
"47","skechers men's diameter zinroy loafers","very good product","david  this product is very good and  will be  buying  from the people  again","i have been  buying these  shoes for the last few years and  they  are  the best  shoes  i have ever had",2023-09-06,5,"verified purchase"
"48","skechers men's diameter zinroy loafers","sizing is accurate for me at least","technobabble","like these shoes a lot im always a bit hesistant about buying shoes online but these are great quality sizing is accurate light weight comfortable and with good grip soles they look constructed to last for a good while but only time will tell on that score i will be buying more sketchers in future",2023-07-13,5,"verified purchase"
"49","skechers men's diameter zinroy loafers","comfortable with excellent looks","lol","an extremely well fitting  pair of shoes with eye catching appearancecolour blend particularly well done",2023-09-22,5,"verified purchase"
"50","skechers men's diameter zinroy loafers","not the level of quality you usually get","walker","i know sketchers arent exactly luxury these feel like a step down from what im used to normally the one thing you can count on is that theyll have a nice thick sole and be comfy to wear from day one these usa ones have thin soles that arent nice and cushioned like youd normally expect also despite buying the same size as i always have they feel slightly too large like i should have taken the round size not te half as i usually doin their defense they do look nice so i cant gripe too much but they dont feel like theyll last as long as normal and theyre not as instantly comfortable as im used to",2023-04-04,5,"verified purchase"
"51","merrell men's moab 3 gtx hiking shoe","guter schuh","r w","habe auf die rezensionen gehrt und eine nummer grer bestellt werde sie aber zurckschicken und  nummern grer bestellen ansonsten alles ok",2023-11-17,4,"verified purchase"
"52","merrell men's moab 3 gtx hiking shoe","super qualitt","paul hatarik","wasserdicht und komfortabel",2023-12-02,5,"verified purchase"
"53","merrell men's moab 3 gtx hiking shoe","como un guante","miguel lopez","son las segundas merrell que tengo y son igual de cmodas que las anteriores que eran unas capra lo malo de estas eran los tacos que eran de  mm y la suela se desgasta rpido las moab  las tienen de  mm as que espero que me duren ms",2023-09-30,5,"verified purchase"
"54","merrell men's moab 3 gtx hiking shoe","great value","boots","for my walking in nonwinter conditions but when it can be wet",2023-11-25,5,"verified purchase"
"55","merrell men's moab 3 gtx hiking shoe","buenas zapatillas","cliente amazon","si las encuentras en oferta perfecto buena suela",2023-11-17,5,"verified purchase"
"56","merrell men's moab 3 gtx hiking shoe","get half a size bigger","unimportant","seriously comfortable hikershalf a size bigger than normal fits me perfectlyput the waterproof claim to a gentle test long wet grass and it was finei like the lowprofile look of these shoes i have read some of the key professional review sites opinions on these shoes and they say they do not look modern enough well give me that every time if that means they look like normal trainers and they perform like proper waterproof hikersill admit i dont have the same confidence in these shoes waterproof capability as i do with my salomon x ultra  gtx which pretty much failed in the uppers after three yearsbut i went in with my eyes open and the moab  gtxs are a great buy in my opinion",2023-07-18,5,"verified purchase"
"57","merrell men's moab 3 gtx hiking shoe","walking shoes","barry","sturdy waterproof and breathable",2023-11-28,5,"verified purchase"
"58","merrell men's moab 3 gtx hiking shoe","comfort","john durie","liked the fit comfort for long walksdo not have any dislikes ",2023-11-18,5,"verified purchase"
"59","merrell men's moab 3 gtx hiking shoe","impressed","mayflip","impressed after two thirty minute dog walks does seem to be waterproof enough after walking on wet grass and comfortable enough i ordered a half size larger than usual side and glad i did as fitting a bit narrow hoping it gives with a bit more wear and purchased at a really good priceupdate just walked dog in the pouring rain and feet remained dry good waterproofing",2023-09-10,5,"verified purchase"
"60","merrell men's moab 3 gtx hiking shoe","exchange handles very well and promptly","alvin kickin","an impressive product i needed a bigger size and an exchange was handled well with no issues",2023-06-28,5,"verified purchase"
"61","merrell men's moab 3 gtx hiking shoe","in time exactly what i want","ced w","top product",2023-08-12,4,"verified purchase"
"62","merrell men's moab 3 gtx hiking shoe","excellent","annon","brilliant price great shoes",2023-11-25,4,"verified purchase"
"63","merrell men's moab 3 gtx hiking shoe","chausse petit","eric delattre","rien  redire sur la grande qualit de ce produit toutefois ce modle chausse vraiment petit au moins une pointure voire mme  pointure au dessus est vraiment ncessaire",2023-04-03,5,"verified purchase"
"64","merrell men's moab 3 gtx hiking shoe","excellent quality","stanniblade","gave the item  stars although i had to return them ordered the wrong sizesuperb quality",2023-11-07,4,"verified purchase"
"65","merrell men's moab 3 gtx hiking shoe","nicht die gewohnte qualitt  fhlt sich wie ausgelatscht an","justus","den moab gtx hatte ich zuvor bei sportscheck gekauft und war damit sehr zufrieden bei ama gabs anfang oktober ein angebot also kurz vor der matschzeit im dez nachdem ich den schuh jetzt ein paar mal getragen habe dez  fhlt sich der rechte schuh viel zu weit an so als wre er ausgelatscht oder ein anprobierschuh aus dem laden wo man immer nur den rechten schuh zum anprobieren bekommt",2024-01-02,5,"verified purchase"
"66","merrell men's moab 3 gtx hiking shoe","taille petit","g michel","bonne qualit mais le  me va bien alors que je fais habituellement du ",2023-09-10,2,"verified purchase"
"67","merrell men's moab 3 gtx hiking shoe","produit parfait","graff thierry","produit parfait",2023-09-25,5,"verified purchase"
"68","merrell men's moab 3 gtx hiking shoe","the best","sdallison","nd pair of these replaced after  years worn every day dog walking in fields many many miles  always ordered half size bigger fit like a glove so comfy and always dry feet never had any issues apart from lace change after  years excellent",2023-08-23,5,"verified purchase"
